EAN,Deeplink,Short text,Delivery time
42366898,https://www.patriciacreates.me/product-page/deep-cleansing-shampoo-300ml,Deep Cleansing Shampoo ,4-5 Days
42392835,https://www.patriciacreates.me/product-page/indulging-fluid-oil-100ml,Indulging Fluid Oil ,4-5 Days
42392743,https://www.patriciacreates.me/product-page/replenish-conditioner-250ml,Replenish Conditioner ,4-5 Days
42392774,https://www.patriciacreates.me/product-page/replenish-balm,Replenish Balm ,4-5 Days
42367055,https://www.patriciacreates.me/product-page/replenish-mask,Replenish Mask,4-5 Days
42367031,https://www.patriciacreates.me/product-page/replenish-spray-conditioner,Replenish Spray Conditioner,4-5 Days
42392736,https://www.patriciacreates.me/product-page/replenish-cleanser,Replenish Cleanser ,4-5 Days
42367468,https://www.patriciacreates.me/product-page/amplify-spray-conditioner,Amplify Spray Conditioner ,4-5 Days
42367130,https://www.patriciacreates.me/product-page/amplify-conditioner,Amplify Conditioner,4-5 Days
42392781,https://www.patriciacreates.me/product-page/amplify-cleanser,Amplify Cleanser ,4-5 Days
42392484,https://www.patriciacreates.me/product-page/glow-mask,Glow Mask ,4-5 Days
42367307,https://www.patriciacreates.me/product-page/glow-conditioner,Glow Conditioner,4-5 Days
42392460,https://www.patriciacreates.me/product-page/glow-cleanser,Glow Cleanser ,4-5 Days
42392804,https://www.patriciacreates.me/product-page/hydrate-lotion,Hydrate Lotion,4-5 Days
42392613,https://www.patriciacreates.me/product-page/hydrate-mask,Hydrate Mask ,4-5 Days
42367406,https://www.patriciacreates.me/product-page/hydrate-spray-conditioner,Hydrate Spray Conditioner ,4-5 Days
42392590,https://www.patriciacreates.me/product-page/hydrate-conditioner,Hydrate Conditioner ,4-5 Days
42392491,https://www.patriciacreates.me/product-page/hydrate-cleanser,Hydrate Cleanser ,4-5 Days
42392873,https://www.patriciacreates.me/product-page/airy-texture-spray,Airy Texture Spray,4-5 Days
42392842,https://www.patriciacreates.me/product-page/nude-powder-spray,Nude Powder Spray,4-5 Days
42366652,https://www.patriciacreates.me/product-page/strong-hold-hairspray,Strong Hold Hairspray ,4-5 Days
42366645,https://www.patriciacreates.me/product-page/working-hairspray,Working Hairspray,4-5 Days
42366614,https://www.patriciacreates.me/product-page/dry-shampoo,Texturizing Dry Shampoo ,4-5 Days
42392811,https://www.patriciacreates.me/product-page/solid-pomade,Solid Pomade ,4-5 Days
42367543,https://www.patriciacreates.me/product-page/gritty-wax-paste,Gritty Wax Paste ,4-5 Days
42367529,https://www.patriciacreates.me/product-page/shaping-cream,Shaping cream ,4-5 Days
42367512,https://www.patriciacreates.me/product-page/amplify-mousse,Amplify Mousse ,4-5 Days
42392620,https://www.patriciacreates.me/product-page/flawless-primer,Flawless Primer,4-5 Days
42405450,https://www.patriciacreates.me/product-page/enhancing-water,Enhancing Water ,4-5 Days
42393306,https://www.patriciacreates.me/product-page/eau-de-toilette,Eau de Toilette,4-5 Days
42393337,https://www.patriciacreates.me/product-page/hand-hair-light-cream,Hand & Hair Light Cream,4-5 Days
42367369,https://www.patriciacreates.me/product-page/hydrate-cleanser,MINI Hydrate Cleanser,4-5 Days
42366980,https://www.patriciacreates.me/product-page/hydrate-mask,MINI Hydrate Mask,4-5 Days
42366867,https://www.patriciacreates.me/product-page/glow-mask,MINI Glow Mask,4-5 Days
42367284,https://www.patriciacreates.me/product-page/glow-cleanser,MINI Glow Cleanser,4-5 Days
42367116,https://www.patriciacreates.me/product-page/amplify-cleanser,MINI Ampflify Cleanser,4-5 Days
42366959,https://www.patriciacreates.me/product-page/replenish-cleanser,MINI Replenish Cleanser,4-5 Days
42366799,https://www.patriciacreates.me/product-page/replenish-mask,MINI Replenish Mask ,4-5 Days
42367536,https://www.patriciacreates.me/product-page/shaping-cream,MINI Shaping Cream,4-5 Days
4045787459739,https://www.patriciacreates.me/product-page/gritty-wax-paste,MINI Gritty Wax Paste,4-5 Days
42392637,https://www.patriciacreates.me/product-page/dry-shampoo,MINI Texturizing Dry Shampoo,4-5 Days
42392439,https://www.patriciacreates.me/product-page/strong-hold-hairspray,MINI Strong Hold Hairspray,4-5 Days
42393344,https://www.patriciacreates.me/product-page/hand-hair-light-cream,MINI Hand & Hair Light Cream,4-5 Days
42405412,https://www.patriciacreates.me/product-page/hydrating-jelly-mask-200ml,Hydrating Jelly Mask,4-5 Days
42392859,https://www.patriciacreates.me/product-page/nymph-salt-spray,Nymph Salt Spray,4-5 Days
